time,value,readout,run,experiment,value_post_inhib_scaled
2295,0.035076169,PH,1,1,0.035076169
2310,-0.01191142,PH,1,1,-0.01191142
2325,0.059557098,PH,1,1,0.059557098
2340,0.059557098,PH,1,1,0.059557098
2355,0.041130592,PH,1,1,0.041130592
2370,0.03876147,PH,1,1,0.03876147
2385,0.044289422,PH,1,1,0.044289422
2400,0.043368097,PH,1,1,0.043368097
2415,0.022177615,PH,1,1,0.022177615
2430,-0.008620972,PH,1,1,-0.008620972
2445,0.023362176,PH,1,1,0.023362176
2460,0.029284982,PH,1,1,0.029284982
2475,0.054818853,PH,1,1,0.054818853
2490,0.050738699,PH,1,1,0.050738699
2505,0.003487874,PH,1,1,0.003487874
2520,0.047579869,PH,1,1,0.047579869
2535,0.014017306,PH,1,1,0.014017306
2550,-0.009147444,PH,1,1,-0.009147444
2565,0.001645224,PH,1,1,0.001645224
2580,-0.010463623,PH,1,1,-0.010463623
2595,-0.014938631,PH,1,1,-0.014938631
2610,0.034154844,PH,1,1,0.034154844
2625,0.007831265,PH,1,1,0.007831265
2640,-0.059688716,PH,1,1,-0.059688716
2655,0.029021746,PH,1,1,0.029021746
2670,0.089565978,PH,1,1,0.089565978
2685,-0.098252759,PH,1,1,-0.098252759
2700,0.021124672,PH,1,1,0.021124672
0,0,iSH2,1,1,0
15,-0.105494505,iSH2,1,1,-0.105494505
30,-0.141978022,iSH2,1,1,-0.141978022
45,-0.115714286,iSH2,1,1,-0.115714286
60,-0.107362637,iSH2,1,1,-0.107362637
75,-0.076263736,iSH2,1,1,-0.076263736
90,-0.056593407,iSH2,1,1,-0.056593407
105,-0.074945055,iSH2,1,1,-0.074945055
120,-0.064725275,iSH2,1,1,-0.064725275
135,-0.048131868,iSH2,1,1,-0.048131868
150,-0.095054945,iSH2,1,1,-0.095054945
165,-0.052197802,iSH2,1,1,-0.052197802
180,-0.013186813,iSH2,1,1,-0.013186813
195,-0.046373626,iSH2,1,1,-0.046373626
210,-0.006813187,iSH2,1,1,-0.006813187
225,0.05032967,iSH2,1,1,0.05032967
240,0.000659341,iSH2,1,1,0.000659341
255,0.066043956,iSH2,1,1,0.066043956
270,0.027802198,iSH2,1,1,0.027802198
285,0.04032967,iSH2,1,1,0.04032967
300,0.035494505,iSH2,1,1,0.035494505
315,0.055384615,iSH2,1,1,0.055384615
330,0.082197802,iSH2,1,1,0.082197802
345,0.038461538,iSH2,1,1,0.038461538
360,0.105604396,iSH2,1,1,0.105604396
375,0.091098901,iSH2,1,1,0.091098901
390,0.096593407,iSH2,1,1,0.096593407
405,0.047582418,iSH2,1,1,0.047582418
420,0.070879121,iSH2,1,1,0.070879121
435,0.076043956,iSH2,1,1,0.076043956
450,0.095714286,iSH2,1,1,0.095714286
465,0.126813187,iSH2,1,1,0.126813187
480,0.098461538,iSH2,1,1,0.098461538
495,0.141318681,iSH2,1,1,0.141318681
510,0.139230769,iSH2,1,1,0.139230769
525,0.17010989,iSH2,1,1,0.17010989
540,0.10989011,iSH2,1,1,0.10989011
555,0.176923077,iSH2,1,1,0.176923077
570,0.174945055,iSH2,1,1,0.174945055
585,0.137912088,iSH2,1,1,0.137912088
600,0.171758242,iSH2,1,1,0.171758242
615,0.191208791,iSH2,1,1,0.191208791
630,0.193076923,iSH2,1,1,0.193076923
645,0.191868132,iSH2,1,1,0.191868132
660,0.229450549,iSH2,1,1,0.229450549
675,0.243736264,iSH2,1,1,0.243736264
690,0.238571429,iSH2,1,1,0.238571429
705,0.256593407,iSH2,1,1,0.256593407
720,0.278901099,iSH2,1,1,0.278901099
735,0.254835165,iSH2,1,1,0.254835165
750,0.246043956,iSH2,1,1,0.246043956
765,0.246373626,iSH2,1,1,0.246373626
780,0.247472527,iSH2,1,1,0.247472527
795,0.289340659,iSH2,1,1,0.289340659
810,0.262197802,iSH2,1,1,0.262197802
825,0.296483516,iSH2,1,1,0.296483516
840,0.303076923,iSH2,1,1,0.303076923
855,0.303516484,iSH2,1,1,0.303516484
870,0.285934066,iSH2,1,1,0.285934066
885,0.31989011,iSH2,1,1,0.31989011
900,0.276043956,iSH2,1,1,0.276043956
915,0.345824176,iSH2,1,1,0.345824176
930,0.346703297,iSH2,1,1,0.346703297
945,0.325824176,iSH2,1,1,0.325824176
960,0.309010989,iSH2,1,1,0.309010989
