"","time","iSH2_1_10","PH_1_10","iSH2_1_2","PH_1_2","iSH2_1_3","PH_1_3","iSH2_1_5","PH_1_5","iSH2_1_6","PH_1_6","iSH2_1_7","PH_1_7","iSH2_1_9","PH_1_9","iSH2_2_1","PH_2_1","iSH2_2_2","PH_2_2","iSH2_2_4","PH_2_4","iSH2_2_5","PH_2_5","iSH2_2_6","PH_2_6","iSH2_2_7","PH_2_7","iSH2_2_8","PH_2_8","iSH2_3_5","PH_3_5","iSH2_3_7","PH_3_7","iSH2_3_8","PH_3_8"
"18",270,1.541,1.7947,1.8223,1.8452,1.3999,2.0415,1.8035,1.878,1.2314,1.5331,1.4298,1.4223,1.8593,2.1753,1.1982,1.2703,0.9193,1.325,1.0329,1.4381,1.0334,1.3488,0.8656,1.1827,1.0469,1.3756,1.157,1.5095,0.9898,1.9664,1.2249,1.6074,1.2749,2.0876
"19",285,1.5875,1.897,1.7375,1.8745,1.4349,2.1878,1.8316,1.9471,1.3205,1.5792,1.5044,1.3797,1.8256,2.1141,0.8941,1.6706,0.8872,1.3547,1.0327,1.4577,0.9533,1.326,0.8668,1.205,1.0664,1.3649,1.0394,1.4785,0.9966,1.9177,1.2315,1.5979,1.2355,2.1236
"20",300,1.5489,1.8526,1.7132,1.8096,1.3876,2.0879,1.7066,2.0563,1.1985,1.4432,1.4765,1.3642,1.8016,2.1149,0.9616,1.4087,0.8839,1.3287,1.1479,1.5391,1.0091,1.3529,0.8356,1.1829,1.0992,1.4627,1.1088,1.5065,0.9897,1.9544,1.2209,1.5569,1.2678,2.1629
"21",315,1.6104,1.8702,1.7707,1.7626,1.3301,1.9552,1.7382,2.01,1.2488,1.6665,1.3792,1.379,1.7893,2.0965,1.0992,1.5355,0.9165,1.3695,1.0464,1.5063,1.0726,1.3872,0.8865,1.2559,1.0748,1.3948,1.1308,1.5478,1.0199,1.9822,1.2043,1.535,1.2326,2.2056
"22",330,1.5318,1.8121,1.7071,1.8261,1.3689,2.1013,1.6894,1.9318,1.1451,1.5472,1.4297,1.3802,1.7064,1.9731,1.1612,1.3703,0.8914,1.3735,1.0845,1.5213,1.0196,1.3873,0.8536,1.1721,1.1058,1.4264,1.0991,1.5674,0.9842,1.9766,1.2269,1.5145,1.2842,2.1952
"23",345,1.5783,1.7784,1.7052,1.72,1.4136,2.0757,1.5058,2.0543,1.2482,1.6716,1.4146,1.335,1.8414,2.2195,1.2012,1.3053,0.925,1.428,1.1069,1.4954,1.0763,1.4218,0.8489,1.2034,1.1043,1.4348,1.1125,1.5879,0.996,1.9974,1.2257,1.5284,1.281,2.0757
"24",360,1.5801,1.8354,1.5974,1.6794,1.3866,2.0818,1.8041,2.0239,1.2208,1.6475,1.4343,1.2889,1.7653,2.0464,0.7803,1.3529,0.9095,1.4194,1.0649,1.5089,1.0914,1.4443,0.8677,1.2475,1.1004,1.4374,1.0378,1.5695,0.9998,1.9829,1.1804,1.509,1.2646,2.0938
"25",375,1.5474,1.8053,1.7319,1.6832,1.32,1.9555,1.8537,1.9976,1.3437,1.6382,1.3935,1.3283,1.7056,1.9668,0.9601,1.4012,0.9186,1.4699,1.1191,1.5014,1.059,1.4828,0.8834,1.2047,1.0834,1.403,1.0429,1.6605,1.0221,2.0257,1.2367,1.5167,1.3121,2.1298
"26",390,1.5262,1.8388,1.6799,1.7405,1.3521,1.9806,1.7075,1.8819,1.2686,1.473,1.4301,1.3504,1.7657,1.9843,0.8094,1.4758,0.8998,1.4781,1.0305,1.4979,1.1036,1.4521,0.8991,1.2777,1.0994,1.4349,1.0746,1.5781,1.0299,2.0593,1.2512,1.5132,1.2899,2.2049
"27",405,1.5326,1.6768,1.6658,1.6733,1.3914,1.9979,1.7575,1.9581,1.2681,1.4861,1.3786,1.3163,1.782,2.0117,1.0516,1.4306,0.9349,1.536,1.1139,1.5076,1.0702,1.4738,0.8729,1.2332,1.0999,1.4532,1.1031,1.6031,1.0298,1.8989,1.2284,1.5104,1.3414,2.247
"28",420,1.5578,1.752,1.6504,1.7259,1.306,1.9409,1.7441,1.9116,1.2521,1.5682,1.3932,1.3489,1.7867,2.0091,0.7481,1.4208,0.9797,1.4814,1.0733,1.5027,1.0994,1.4991,0.8644,1.257,1.1018,1.4287,1.0556,1.6375,0.9739,2.0017,1.196,1.4889,1.3195,2.2796
"29",435,1.5249,1.8433,1.6837,1.5626,1.2929,1.7646,1.5511,1.8324,1.2657,1.5315,1.4301,1.2748,1.769,1.9082,1.138,1.2792,0.9643,1.4567,1.1001,1.5302,1.0604,1.4856,0.8774,1.232,1.0854,1.4054,1.1339,1.665,1.0121,1.9387,1.2355,1.5207,1.3368,2.2667
"30",450,1.5004,1.7732,1.6621,1.6451,1.281,1.9708,1.6468,1.9216,1.3212,1.6134,1.445,1.3055,1.8803,2.0022,0.7158,1.6682,0.9365,1.4142,1.094,1.4895,1.0212,1.4281,0.8693,1.2121,1.159,1.4436,1.1997,1.7511,1.03,2.0035,1.1939,1.4917,1.3306,2.2746
"31",465,1.1222,1.1587,1.1683,1.2494,1.1217,1.3005,1.0095,0.9371,1.1215,1.0314,1.218,0.9537,1.3044,1.254,0.9481,1.2768,0.9339,1.3827,1.0688,1.487,1.0758,1.481,0.9187,1.2964,1.0557,1.3391,1.1058,1.5957,0.9311,2.0142,1.1039,1.523,1.1028,2.3659
"32",480,1.0161,1.9384,1.0948,1.8326,0.8,2.0936,1.1096,1.9537,0.7651,1.8943,1.0519,1.3664,1.2102,2.1112,0.5815,1.4879,0.8548,1.443,1.016,1.5252,0.9289,1.4878,0.8084,1.2195,0.95,1.4339,1.0034,1.5686,0.9228,2.0122,1.0543,1.4981,1.0565,2.2395
"33",495,1.041,1.9768,1.1248,1.7458,0.7626,2.038,1.113,1.9449,0.8272,1.6441,1.015,1.3379,1.2092,2.1184,1.019,1.1668,0.7863,1.4554,1.0028,1.5296,0.8471,1.517,0.7877,1.2837,0.8686,1.3763,0.9298,1.6191,0.9175,1.9447,1.1005,1.5489,1.0963,2.2214
