time,value,readout,run,experiment,value_raw,value_post_inhib_scaled
2115,1.372644975,PH,10,1,1.9384,1.372644975
2130,1.423025453,PH,10,1,1.9768,1.423025453
2145,1.399803201,PH,10,1,1.9591,1.399803201
2160,1.425911834,PH,10,1,1.979,1.425911834
2175,1.32501968,PH,10,1,1.9021,1.32501968
2190,1.392849646,PH,10,1,1.9538,1.392849646
2205,1.247480976,PH,10,1,1.843,1.247480976
2220,1.253909735,PH,10,1,1.8479,1.253909735
2235,1.166137497,PH,10,1,1.781,1.166137497
2250,1.163775912,PH,10,1,1.7792,1.163775912
2265,1.12808974,PH,10,1,1.752,1.12808974
2280,1.181356599,PH,10,1,1.7926,1.181356599
2295,1.0405799,PH,10,1,1.6853,1.0405799
2310,1.081907636,PH,10,1,1.7168,1.081907636
2325,1.048583049,PH,10,1,1.6914,1.048583049
2340,1.201430071,PH,10,1,1.8079,1.201430071
2355,1.130976122,PH,10,1,1.7542,1.130976122
2370,1.089648386,PH,10,1,1.7227,1.089648386
2385,1.190802939,PH,10,1,1.7998,1.190802939
2400,1.089910785,PH,10,1,1.7229,1.089910785
2415,1.152886382,PH,10,1,1.7709,1.152886382
2430,1.070755707,PH,10,1,1.7083,1.070755707
2445,1.154854369,PH,10,1,1.7724,1.154854369
2460,1.074166885,PH,10,1,1.7109,1.074166885
2475,1.049239045,PH,10,1,1.6919,1.049239045
2490,1.079414852,PH,10,1,1.7149,1.079414852
2505,1.09056678,PH,10,1,1.7234,1.09056678
2520,1.056848596,PH,10,1,1.6977,1.056848596
2535,1.079152453,PH,10,1,1.7147,1.079152453
2550,0.986788245,PH,10,1,1.6443,0.986788245
2565,1.022474416,PH,10,1,1.6715,1.022474416
2580,0.955956442,PH,10,1,1.6208,0.955956442
2595,1.0563238,PH,10,1,1.6973,1.0563238
2610,0.93601417,PH,10,1,1.6056,0.93601417
2625,1.085056416,PH,10,1,1.7192,1.085056416
2640,1.007255314,PH,10,1,1.6599,1.007255314
2655,0.991249016,PH,10,1,1.6477,0.991249016
2670,0.974324324,PH,10,1,1.6348,0.974324324
2685,0.963828391,PH,10,1,1.6268,0.963828391
2700,0.931553398,PH,10,1,1.6022,0.931553398
2715,1.083219627,PH,10,1,1.7178,1.083219627
2730,0.941655733,PH,10,1,1.6099,0.941655733
2745,0.979834689,PH,10,1,1.639,0.979834689
2760,0.925387038,PH,10,1,1.5975,0.925387038
2775,0.967501968,PH,10,1,1.6296,0.967501968
2790,0.955169247,PH,10,1,1.6202,0.955169247
2805,0.979047494,PH,10,1,1.6384,0.979047494
2820,0.899409604,PH,10,1,1.5777,0.899409604
2835,0.906887956,PH,10,1,1.5834,0.906887956
2850,0.964484387,PH,10,1,1.6273,0.964484387
1650,0.708039399,iSH2,2,1,1.6132,0.708039399
1665,0.737222242,iSH2,2,1,1.6563,0.737222242
1680,0.772566658,iSH2,2,1,1.7085,0.772566658
1695,0.769587435,iSH2,2,1,1.7041,0.769587435
1710,0.719414614,iSH2,2,1,1.63,0.719414614
1725,0.769452016,iSH2,2,1,1.7039,0.769452016
1740,0.770129112,iSH2,2,1,1.7049,0.770129112
1755,0.704179952,iSH2,2,1,1.6075,0.704179952
1770,0.702080954,iSH2,2,1,1.6044,0.702080954
1785,0.699914246,iSH2,2,1,1.6012,0.699914246
1800,0.875552976,iSH2,2,1,1.8606,0.875552976
1815,0.837906433,iSH2,2,1,1.805,0.837906433
1830,0.822265513,iSH2,2,1,1.7819,0.822265513
1845,0.865735083,iSH2,2,1,1.8461,0.865735083
1860,0.758550769,iSH2,2,1,1.6878,0.758550769
1875,0.79308267,iSH2,2,1,1.7388,0.79308267
1890,0.831880277,iSH2,2,1,1.7961,0.831880277
1905,0.849620195,iSH2,2,1,1.8223,0.849620195
1920,0.792202445,iSH2,2,1,1.7375,0.792202445
1935,0.77574901,iSH2,2,1,1.7132,0.77574901
1950,0.814682036,iSH2,2,1,1.7707,0.814682036
1965,0.771618724,iSH2,2,1,1.7071,0.771618724
1980,0.770332241,iSH2,2,1,1.7052,0.770332241
1995,0.697341281,iSH2,2,1,1.5974,0.697341281
2010,0.788410707,iSH2,2,1,1.7319,0.788410707
2025,0.75320171,iSH2,2,1,1.6799,0.75320171
2040,0.743654655,iSH2,2,1,1.6658,0.743654655
2055,0.733227375,iSH2,2,1,1.6504,0.733227375
2070,0.755774675,iSH2,2,1,1.6837,0.755774675
2085,0.741149399,iSH2,2,1,1.6621,0.741149399
2100,0.406799341,iSH2,2,1,1.1683,0.406799341
2115,0.134140655,iSH2,2,1,1.0948,0.134140655
2130,0.245429914,iSH2,2,1,1.1248,0.245429914
2145,-0.080276653,iSH2,2,1,1.037,-0.080276653
2160,-0.083244366,iSH2,2,1,1.0362,-0.083244366
2175,0.021738502,iSH2,2,1,1.0645,0.021738502
2190,0.076641204,iSH2,2,1,1.0793,0.076641204
2205,0.140447046,iSH2,2,1,1.0965,0.140447046
2220,-0.00051935,iSH2,2,1,1.0585,-0.00051935
2235,0.25655884,iSH2,2,1,1.1278,0.25655884
2250,-0.040583483,iSH2,2,1,1.0477,-0.040583483
2265,0.048818889,iSH2,2,1,1.0718,0.048818889
2280,0.035835142,iSH2,2,1,1.0683,0.035835142
2295,0.007270898,iSH2,2,1,1.0606,0.007270898
2310,0.015432111,iSH2,2,1,1.0628,0.015432111
2325,-0.026857808,iSH2,2,1,1.0514,-0.026857808
2340,0.004674149,iSH2,2,1,1.0599,0.004674149
2355,-0.008680562,iSH2,2,1,1.0563,-0.008680562
2370,-0.115889216,iSH2,2,1,1.0274,-0.115889216
2385,-0.003858028,iSH2,2,1,1.0576,-0.003858028
2400,0.090737843,iSH2,2,1,1.0831,0.090737843
2415,-0.028341665,iSH2,2,1,1.051,-0.028341665
2430,0.107802196,iSH2,2,1,1.0877,0.107802196
2445,-0.058018801,iSH2,2,1,1.043,-0.058018801
2460,0.089624951,iSH2,2,1,1.0828,0.089624951
2475,-0.117744037,iSH2,2,1,1.0269,-0.117744037
2490,0.024335251,iSH2,2,1,1.0652,0.024335251
2505,-0.108469932,iSH2,2,1,1.0294,-0.108469932
2520,-0.071744476,iSH2,2,1,1.0393,-0.071744476
2535,-0.01201924,iSH2,2,1,1.0554,-0.01201924
2550,-0.099566791,iSH2,2,1,1.0318,-0.099566791
2565,-0.259823325,iSH2,2,1,0.9886,-0.259823325
2580,-0.055051087,iSH2,2,1,1.0438,-0.055051087
2595,-0.113292467,iSH2,2,1,1.0281,-0.113292467
2610,-0.005341884,iSH2,2,1,1.0572,-0.005341884
2625,-0.018325631,iSH2,2,1,1.0537,-0.018325631
2640,-0.072857369,iSH2,2,1,1.039,-0.072857369
2655,0.024335251,iSH2,2,1,1.0652,0.024335251
2670,-0.053196266,iSH2,2,1,1.0443,-0.053196266
2685,-0.056534944,iSH2,2,1,1.0434,-0.056534944
2700,-0.070631584,iSH2,2,1,1.0396,-0.070631584
2715,0.074415418,iSH2,2,1,1.0787,0.074415418
2730,0.040657676,iSH2,2,1,1.0696,0.040657676
2745,-0.127389106,iSH2,2,1,1.0243,-0.127389106
2760,-0.034648056,iSH2,2,1,1.0493,-0.034648056
2775,0.050302745,iSH2,2,1,1.0722,0.050302745
2790,0.033609356,iSH2,2,1,1.0677,0.033609356
2805,0.069963848,iSH2,2,1,1.0775,0.069963848
2820,-0.008680562,iSH2,2,1,1.0563,-0.008680562
2835,-0.096970042,iSH2,2,1,1.0325,-0.096970042
2850,-0.001261278,iSH2,2,1,1.0583,-0.001261278
1650,0.545171871,PH,2,1,1.3077,0.545171871
1665,0.461073209,PH,2,1,1.2436,0.461073209
1680,0.45464445,PH,2,1,1.2387,0.45464445
1695,0.465927578,PH,2,1,1.2473,0.465927578
1710,0.49531619,PH,2,1,1.2697,0.49531619
1725,0.516832852,PH,2,1,1.2861,0.516832852
1740,0.43601417,PH,2,1,1.2245,0.43601417
1755,0.476817108,PH,2,1,1.2556,0.476817108
1770,0.444148517,PH,2,1,1.2307,0.444148517
1785,0.495709787,PH,2,1,1.27,0.495709787
1800,0.781461559,PH,2,1,1.4878,0.781461559
1815,0.984820257,PH,2,1,1.6428,0.984820257
1830,1.047008659,PH,2,1,1.6902,1.047008659
1845,1.273064812,PH,2,1,1.8625,1.273064812
1860,1.103686696,PH,2,1,1.7334,1.103686696
1875,1.141734453,PH,2,1,1.7624,1.141734453
1890,1.174534243,PH,2,1,1.7874,1.174534243
1905,1.250367358,PH,2,1,1.8452,1.250367358
1920,1.288808712,PH,2,1,1.8745,1.288808712
1935,1.203660457,PH,2,1,1.8096,1.203660457
1950,1.141996851,PH,2,1,1.7626,1.141996851
1965,1.225308318,PH,2,1,1.8261,1.225308318
1980,1.086106009,PH,2,1,1.72,1.086106009
1995,1.03283915,PH,2,1,1.6794,1.03283915
2010,1.037824718,PH,2,1,1.6832,1.037824718
