Count,Experiment,Run,Data,Sim,Best
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.492784046182106722e-02,1.279145717160097562e-03,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.282865389661502264e-02,4.542512491930302335e-03,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.679349252164790557e-02,9.137727089579049042e-03,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-6.717397008659148350e-02,1.461935592896316215e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-6.678037260561525690e-02,2.068339143133224312e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-3.122540015743904829e-02,2.712269311240108477e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.535030175806880587e-02,3.379583061081171957e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.641563893991039663e-03,4.060670609586272684e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.360272894253482023e-02,4.749006200099448877e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.414064549986876321e-02,5.440154049442325057e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-3.673576489110502111e-03,6.131117151469292481e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.234846496982410724e-02,6.819874030443483226e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.663342954605088519e-02,7.505070856634031562e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.944896352663340489e-02,8.185808098189276127e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.182104434531618398e-01,8.861489745386505468e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.456310679611650394e-01,9.531733318192574245e-02,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.138546313303593960e-01,1.019630347552551441e-01,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.335607452112306526e-01,1.085506256428976218e-01,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.570453949094726132e-01,1.150793628833738508e-01,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.674101285751771750e-01,1.215488761031660592e-01,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.954867488848070212e-01,1.279591354490251520e-01,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.720020991865653381e-01,1.343103427747866785e-01,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.331671477302545648e-01,1.406028480170343764e-01,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.320913146155863804e-01,1.468370985844387189e-01,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.726580949881921512e-01,1.530136028045690488e-01,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.352663342954604775e-01,1.591328854788256753e-01,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.692469168197322238e-01,1.651954302158025467e-01,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.987667278929415859e-01,1.712018895711038546e-01,4.221354554155564074e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.926003673576488218e-01,1.771525952402369375e-01,4.221354554155564074e+02
