Count,Experiment,Run,Data,Sim,Best
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.492784046182106722e-02,3.055206657043305161e-03,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.282865389661502264e-02,1.013951480578169882e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.679349252164790557e-02,1.923512495459162724e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-6.717397008659148350e-02,2.924559065230128430e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-6.678037260561525690e-02,3.957627878958394629e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-3.122540015743904829e-02,4.990679873794349325e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.535030175806880587e-02,6.006739205409328958e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.641563893991039663e-03,6.997104931846989673e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.360272894253482023e-02,7.957658035705976463e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.414064549986876321e-02,8.886803177370469764e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-3.673576489110502111e-03,9.784319442031334801e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.234846496982410724e-02,1.065073574033576081e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.663342954605088519e-02,1.148695713655848161e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.944896352663340489e-02,1.229408804779118652e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.182104434531618398e-01,1.307332876077588746e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.456310679611650394e-01,1.382589399643303629e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.138546313303593960e-01,1.455299443701818518e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.335607452112306526e-01,1.525576571167412965e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.570453949094726132e-01,1.593532961942374648e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.674101285751771750e-01,1.659276350199772321e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.954867488848070212e-01,1.722909532636270336e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.720020991865653381e-01,1.784534249180389220e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.331671477302545648e-01,1.844245152267164067e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.320913146155863804e-01,1.902132292974148264e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.726580949881921512e-01,1.958279377073173233e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.352663342954604775e-01,2.012767377357623233e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.692469168197322238e-01,2.065673694218216339e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.987667278929415859e-01,2.117073345253543681e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.926003673576488218e-01,2.167037329453713190e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.033586985043294715e-01,2.215632593096434622e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.996851220152190964e-01,2.262922375437318168e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.057202833901862205e-01,2.308966738274342845e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.824717921805299792e-01,2.353823719057723529e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.462608239307269575e-01,2.397548760780225108e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.706638677512464564e-01,2.440195049738588529e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.168722120178429580e-01,2.481812346485511578e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.886381527158227156e-01,2.522447978095924692e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.824717921805299792e-01,2.562146530224847507e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.738126475990553810e-01,2.600951202247222538e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.277355024927839366e-01,2.638903197092360431e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.955917082130673501e-01,2.676041786072730355e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.102860141695093499e-01,2.712403861830092744e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.995276830228287279e-01,2.748025329564544039e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.659406979795329029e-01,2.782939377213742294e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.005772763054316288e-01,2.817179090078644199e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.982156914195748243e-01,2.850773739413814956e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.470217790606140995e-01,2.883752793547924576e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.447913933350826854e-01,2.916143126886166503e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.089740225662555018e-01,2.947970515940090408e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.553135659931776158e-01,2.979259863972623101e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.934925216478613264e-01,3.010034994203790171e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.904749409603777921e-01,3.040318630475958295e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.357386512726320271e-01,3.070132795158818650e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.829703489897663959e-01,3.099498487759955734e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.002886381527158699e-01,3.128434697628183492e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.996326423510890846e-01,3.156960098647254576e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.188139595906586132e-01,3.185091525841985960e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.914982944109159368e-01,3.212844684222891378e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.213067436368407526e-01,3.240235623946680077e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.007084754657569636e-01,3.267278767168826925e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.618472841773811566e-01,3.293988712683076359e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.140645499868800816e-01,3.320379926663981629e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.337706638677513382e-01,3.346465847637537516e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.220939385987928727e-01,3.372258728657761551e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.189451587509840036e-01,3.397770721907612534e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.277355024927839366e-01,3.423011609215595996e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.622408816583572722e-01,3.447990865018682460e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.104172133298347402e-01,3.472718343585353695e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.509577538703751998e-01,3.497201960041260160e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.441353975334559001e-01,3.521451703934679878e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.811335607452113750e-01,3.545476832367440712e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.021254263972712240e-01,3.569286106839950623e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.313828391498295556e-01,3.592888405753668635e-01,1.691927442244423901e+03
