"V1","V2","V3","V4","V5","V6"
847.72,866.910982187595,747.52,760.313988125063,749.42,768.610982187595
5750.98,5770.17098218759,3278.3,3291.09398812506,3256.86,3276.05098218759
5651.76,5670.9509821876,11716.14,11728.9339881251,6733.18,6752.3709821876
1704.46,1723.65098218759,1204.84,1217.63398812506,1197.16,1216.3509821876
1345.62,1364.81098218759,1056.34,1069.13398812506,909.1,928.290982187595
476.98,496.170982187595,592.46,605.253988125063,581.5,600.690982187595
1436.3,1455.49098218759,2354.06,2366.85398812506,1990.44,2009.6309821876
2831.56,2850.75098218759,3234.54,3247.33398812506,2975.94,2995.13098218759
3366.62,3385.8109821876,5542.12,5554.91398812506,4888.32,4907.51098218759
948.66,967.850982187595,1985.3,1998.09398812506,1337.18,1356.3709821876
1859.92,1879.1109821876,3081.18,3093.97398812506,1660.62,1679.81098218759
4586.02,4605.2109821876,2415.82,2428.61398812506,2166.38,2185.5709821876
1296.38,1315.5709821876,NA,NA,585.9,605.090982187595
2447.26,2466.4509821876,26695.66,26708.4539881251,12516.4,12535.5909821876
